deep_blue, aquamarine, steel_blue, 55
deep_blue, black, navy, 85
red_brown, aquamarine, dim_gray, 50
red_brown, black, maroon, 90
red_brown, deep_blue, indigo, 85
dull_blue, aquamarine, light_mint, 100
dull_blue, black, dark_teal, 75
dull_blue, deep_blue, slate_blue, 85
light_brown, aquamarine, dark_beige, 65
light_brown, deep_blue, dark_slate, 65
light_brown, red_brown, brown, 100
coral, aquamarine, dark_beige, 65
coral, black, brown, 65
coral, deep_blue, purple, 65
coral, red_brown, brick_red, 95
coral, dull_blue, dull_red, 80
coral, light_brown, tan, 115
crimson, aquamarine, dull_red, 45
crimson, black, maroon, 80
crimson, deep_blue, indigo, 85
crimson, red_brown, brick_red, 115
crimson, light_brown, red, 100
crimson, coral, brick_red, 105
cyan, aquamarine, light_turquoise, 115
cyan, deep_blue, blue, 60
cyan, red_brown, dull_blue, 50
cyan, dull_blue, turquoise, 100
cyan, light_brown, light_mint, 65
cyan, coral, light_mint, 65
cyan, crimson, slate, 50
dark_bronze, aquamarine, dull_green, 80
dark_bronze, deep_blue, dark_slate, 55
dark_bronze, red_brown, brown, 85
dark_bronze, dull_blue, olive, 90
dark_bronze, light_brown, tan, 110
dark_bronze, coral, tan, 100
dark_bronze, crimson, brown, 85
dark_bronze, cyan, mint, 75
gray, aquamarine, light_mint, 95
gray, black, dark_gray, 70
gray, deep_blue, slate_blue, 75
gray, red_brown, brick_red, 85
gray, light_brown, tan, 95
gray, coral, dark_salmon, 100
gray, crimson, brick_red, 90
gray, cyan, turquoise, 95
gray, dark_bronze, dark_beige, 100
dark_green, aquamarine, mint, 75
dark_green, deep_blue, dark_slate, 65
dark_green, dull_blue, dark_mint, 90
dark_green, light_brown, dark_olive, 70
dark_green, coral, dark_yellow, 60
dark_green, crimson, brown, 55
dark_green, cyan, mint, 70
dark_green, dark_bronze, dark_olive, 85
dark_green, gray, dark_mint, 85
dark_beige, aquamarine, dull_green, 100
dark_beige, black, dark_olive, 60
dark_beige, red_brown, light_brown, 75
dark_beige, dull_blue, dull_green, 95
dark_beige, light_brown, tan, 95
dark_beige, coral, pale_brown, 90
dark_beige, crimson, brick_red, 75
dark_beige, cyan, light_mint, 90
dark_beige, dark_bronze, bronze, 110
dark_beige, gray, pale_tan, 105
dark_beige, dark_green, olive, 85
dark_olive, aquamarine, mint, 80
dark_olive, deep_blue, dark_slate, 50
dark_olive, red_brown, brown, 80
dark_olive, dull_blue, dark_mint, 95
dark_olive, light_brown, dark_bronze, 85
dark_olive, coral, tan, 75
dark_olive, crimson, red_brown, 70
dark_olive, cyan, dark_turquoise, 75
dark_olive, dark_bronze, dark_yellow, 100
dark_olive, dark_green, green, 115
dark_olive, dark_beige, olive, 95
red_orange, aquamarine, dark_beige, 70
red_orange, black, brown, 60
red_orange, deep_blue, mauve, 55
red_orange, red_brown, light_brown, 85
red_orange, dull_blue, dark_bronze, 80
red_orange, light_brown, tan, 115
red_orange, coral, pale_brown, 115
red_orange, crimson, red, 90
red_orange, cyan, dull_green, 70
red_orange, dark_bronze, tan, 110
red_orange, gray, tan, 95
red_orange, dark_green, dark_yellow, 70
red_orange, dark_beige, bronze, 100
red_orange, dark_olive, dark_bronze, 80
dark_salmon, aquamarine, dull_green, 75
dark_salmon, black, brown, 65
dark_salmon, deep_blue, slate_blue, 70
dark_salmon, red_brown, brick_red, 95
dark_salmon, dull_blue, gray, 85
dark_salmon, light_brown, coral, 110
dark_salmon, coral, salmon, 120
dark_salmon, crimson, brick_red, 100
dark_salmon, cyan, light_mint, 75
dark_salmon, dark_bronze, tan, 100
dark_salmon, gray, dull_red, 105
dark_salmon, dark_green, dark_yellow, 65
dark_salmon, dark_beige, pale_tan, 95
dark_salmon, dark_olive, tan, 80
dark_salmon, red_orange, pale_brown, 110
dull_green, aquamarine, light_mint, 110
dull_green, black, dark_olive, 60
dull_green, deep_blue, royal_blue, 60
dull_green, red_brown, brown, 65
dull_green, dull_blue, light_mint, 105
dull_green, light_brown, dark_bronze, 80
dull_green, coral, pale_tan, 80
dull_green, crimson, brick_red, 60
dull_green, cyan, light_turquoise, 100
dull_green, dark_bronze, dark_beige, 95
dull_green, dark_green, dark_mint, 90
dull_green, dark_beige, yellow_green, 110
dull_green, dark_olive, olive, 100
dull_green, red_orange, bronze, 85
dull_green, dark_salmon, pale_tan, 85
dark_slate, aquamarine, dull_blue, 60
dark_slate, deep_blue, indigo, 110
dark_slate, red_brown, dark_purple, 90
dark_slate, dull_blue, royal_blue, 85
dark_slate, light_brown, red_brown, 75
dark_slate, coral, brick_red, 70
dark_slate, crimson, purple_red, 90
dark_slate, cyan, light_blue, 60
dark_slate, dark_bronze, brown, 65
dark_slate, dark_green, dark_teal, 75
dark_slate, dark_beige, dim_gray, 55
dark_slate, dark_olive, dark_gray, 70
dark_slate, red_orange, brown, 60
dark_slate, dull_green, slate, 65
dark_teal, aquamarine, dark_turquoise, 70
dark_teal, deep_blue, navy, 95
dark_teal, dull_blue, teal, 95
dark_teal, light_brown, brown, 80
dark_teal, coral, brown, 75
dark_teal, crimson, red_brown, 80
dark_teal, cyan, dark_turquoise, 70
dark_teal, dark_bronze, dark_olive, 85
dark_teal, gray, dim_gray, 85
dark_teal, dark_green, dark_olive, 100
dark_teal, dark_beige, dark_olive, 75
dark_teal, red_orange, dark_bronze, 70
dark_teal, dark_salmon, dim_gray, 75
dark_teal, dull_green, dark_mint, 80
turquoise, aquamarine, light_turquoise, 110
turquoise, black, teal, 55
turquoise, deep_blue, royal_blue, 65
turquoise, red_brown, teal, 60
turquoise, dull_blue, dark_turquoise, 115
turquoise, light_brown, dark_mint, 70
turquoise, coral, dull_green, 70
turquoise, crimson, slate, 55
turquoise, cyan, light_turquoise, 115
turquoise, dark_bronze, mint, 80
turquoise, gray, dark_turquoise, 100
turquoise, dark_green, dark_mint, 80
turquoise, dark_beige, light_mint, 95
turquoise, dark_olive, dark_mint, 85
turquoise, red_orange, dull_green, 75
turquoise, dark_salmon, dark_turquoise, 80
turquoise, dull_green, light_mint, 105
turquoise, dark_slate, steel_blue, 70
turquoise, dark_teal, teal, 80
purple, aquamarine, light_slate, 60
purple, black, indigo, 85
purple, red_brown, dark_purple, 90
purple, dull_blue, slate_blue, 90
purple, light_brown, purple_red, 70
purple, coral, purple_red, 75
purple, crimson, purple_red, 90
purple, cyan, steel_blue, 60
